Campaign_Name,Subscriptions revenue target,Impressions target,Openings target,Clicks target,Subscriptions quantity target
Annual Discount,"R$9285,00",782,402,233,116
App Launch,"R$8578,00",779,375,245,102
Autumn Campaign,"R$8321,00",813,409,268,98
Back to School,"R$8809,00",750,398,260,103
Black Friday 2023,"R$8719,00",805,417,233,98
Christmas Promotion,"R$7375,00",758,425,218,111
Cyber Monday 2023,"R$8465,00",779,376,263,98
Halloween Special,"R$8188,00",800,400,236,107
New Year Sale,"R$8715,00",818,423,217,109
Product X Launch,"R$9352,00",843,403,243,117
Spring Campaign,"R$8412,00",776,423,269,97
Summer Campaign 2023,"R$7329,00",832,410,268,97
Summer Flash Sale,"R$8808,00",785,408,254,104
Valentine's Day,"R$9143,00",758,403,264,108
Winter Promotion,"R$7537,00",802,405,226,94
